pclass,sex,age,sibsp,parch,ticket,fare,survived,,,,,,,,
3,1,19,0,0,680,15.5,1,,,,,,,,
3,1,18,0,0,693,7.75,0,,,,,,,,
3,0,22,0,0,694,7.8958,0,,,,,,,,
3,1,15,0,0,695,7.225,1,,,,,,,,
1,1,38,0,0,1222,0,0,,,,,,,,
1,1,56,0,0,1601,26.55,0,,,,,,,,
1,0,56,0,0,1601,30.6958,0,,,,,,,,
1,1,24,1,0,1601,60,0,,,,,,,,
1,1,19,0,0,1601,26,0,,,,,,,,
1,1,18,1,0,1601,60,1,,,,,,,,
1,0,24,1,0,1601,82.2667,1,,,,,,,,
1,0,23,1,0,1601,82.2667,1,,,,,,,,
1,1,6,0,2,1601,134.5,1,,,,,,,,
1,0,31,0,0,2003,134.5,1,,,,,,,,
1,1,19,0,0,2003,35.5,1,,,,,,,,
2,1,32,1,0,2223,26,1,,,,,,,,
2,1,63,1,0,2543,26,0,,,,,,,,
2,1,60,1,0,2620,26,0,,,,,,,,
2,1,33,0,0,2621,12.275,0,,,,,,,,
3,1,19,1,0,2621,6.4375,0,,,,,,,,
2,1,17,0,0,2622,10.5,1,,,,,,,,
2,1,42,1,0,2623,27,0,,,,,,,,
2,1,24,2,1,2624,27,1,,,,,,,,
2,1,47,0,0,2625,15,0,,,,,,,,
2,1,24,2,0,2625,31.5,0,,,,,,,,
3,0,0.4167,0,1,2625,8.5167,1,,,,,,,,
3,1,16,1,1,2625,8.5167,1,,,,,,,,
2,1,22,2,0,2626,31.5,0,,,,,,,,
2,0,32,0,0,2627,10.5,0,,,,,,,,
2,1,23,0,0,2627,13.7917,1,,,,,,,,
3,1,19,0,0,2627,14.4583,0,,,,,,,,
2,1,34,1,0,2628,26,0,,,,,,,,
3,1,45.5,0,0,2628,7.225,0,,,,,,,,
2,1,24,1,0,2629,26,1,,,,,,,,
3,1,19,0,0,2629,7.2292,0,,,,,,,,
2,1,22,0,0,2631,21,0,,,,,,,,
2,0,57,0,0,2641,12.35,0,,,,,,,,
3,1,19,0,0,2641,7.2292,0,,,,,,,,
2,1,19,0,0,2647,0,0,,,,,,,,
3,0,19,0,0,2647,7.225,0,,,,,,,,
2,1,31,0,0,2648,10.5,0,,,,,,,,
2,1,26,1,1,2649,26,0,,,,,,,,
2,1,30,1,1,2650,26,0,,,,,,,,
2,1,19,0,0,2650,10.7083,0,,,,,,,,
2,0,1,1,2,2650,41.5792,1,,,,,,,,
3,1,7,1,1,2650,15.2458,1,,,,,,,,
3,0,9,1,1,2650,15.2458,1,,,,,,,,
